id,created_at,date,description,category,amount,type,isPaidByKari,is_default
341,2025-10-11T17:59:29.231266+00:00,2025-10-11,lieferando,food,24.9,shared,false,false
340,2025-10-11T17:59:07.957563+00:00,2025-10-11,ganchos,other,28.85,percentage,false,false
339,2025-10-11T17:58:35.320717+00:00,2025-10-11,bbking,food,31.38,shared,false,false
338,2025-10-11T17:58:10.138709+00:00,2025-10-11,"comida albondiga ",pet,31.74,percentage,false,false
337,2025-10-11T17:56:35.444191+00:00,2025-10-11,libros a1 b1,other,34.21,shared,false,false
336,2025-10-11T17:55:47.425287+00:00,2025-10-11,shan india,food,53.85,shared,false,false
335,2025-10-11T17:55:25.436912+00:00,2025-10-11,mama bao,food,45.8,shared,false,false
334,2025-10-11T17:54:19.418331+00:00,2025-10-11,REWE,supermarket,93.7,percentage,false,false
333,2025-10-11T17:53:48.189045+00:00,2025-10-11,openai,subscriptions,27.09,percentage,false,false
332,2025-10-11T17:53:25.446357+00:00,2025-10-11,bomba,food,7.63,shared,false,false
383,2025-10-18T15:33:55.182852+00:00,2025-10-04,go asia,supermarket,10.25,percentage,true,false
385,2025-10-18T15:36:46.504305+00:00,2025-10-01,CHATGPT,subscriptions,27.09,percentage,false,false
143,2025-06-02T17:23:52.439865+00:00,2025-10-01,"seguro medico ",health insurance,426.25,shared,false,true
98,2025-05-07T12:01:57.792376+00:00,2025-10-01,spotify premium,subscriptions,17.39,percentage,true,true
97,2025-05-07T12:01:07.90614+00:00,2025-10-01,amazon prime,subscriptions,11.99,percentage,false,true
96,2025-05-07T12:00:07.392192+00:00,2025-10-01,crunchyroll,subscriptions,5.19,percentage,false,true
95,2025-05-07T11:59:44.977728+00:00,2025-10-01,youtube premium,subscriptions,15.22,percentage,false,true
94,2025-05-07T11:59:17.697714+00:00,2025-10-01,o2,subscriptions,49.96,shared,false,true
87,2025-05-01T14:36:53.916578+00:00,2025-10-01,Alquiler,rent,2121.15,percentage,true,true
